Hour,Minute:Second,DeviceId,EventId,Parameter
07,00:05,613,2,2
07,00:05,613,2,6
07,00:05,613,2,7
07,00:05,613,44,3
07,00:05,613,44,8
07,00:08,613,43,8
07,00:11,613,2,2
07,00:11,613,2,6
07,00:11,613,44,7
07,00:12,613,44,4
07,00:12,613,44,8
07,00:15,613,7,4
07,00:15,613,7,8
07,00:15,613,8,4
07,00:15,613,8,8
07,00:15,613,62,6
07,00:15,613,63,6
07,00:18,613,43,4
07,00:18,613,43,8
07,00:19,613,10,4
07,00:19,613,10,8
07,00:19,613,11,4
07,00:19,613,11,8
07,00:19,613,9,4
07,00:19,613,9,8
07,00:19,613,12,8
07,00:19,613,64,6
07,00:21,613,0,2
07,00:21,613,0,6
07,00:21,613,1,2
07,00:21,613,1,6
07,00:21,613,2,4
07,00:21,613,2,8
07,00:21,613,12,4
07,00:21,613,31,2
07,00:21,613,61,5
07,00:21,613,65,6
07,00:21,613,21,2
07,00:21,613,21,6
07,00:22,613,46,3
07,00:22,613,46,4
07,00:22,613,46,7
07,00:22,613,46,8
07,00:22,613,48,3
07,00:22,613,48,7
07,00:24,613,43,5
07,00:50,613,2,1
07,00:50,613,2,5
07,00:50,613,22,2
07,00:50,613,22,6
07,00:50,613,47,1
07,00:50,613,47,5
07,00:50,613,49,1
07,00:50,613,49,5
07,00:56,613,2,1
07,00:56,613,44,2
07,00:56,613,44,5
07,01:00,613,43,3
07,01:05,613,44,1
07,01:05,613,44,6
07,01:15,613,23,2
07,01:15,613,23,6
07,01:15,613,3,2
07,01:15,613,3,6
07,01:15,613,2,5
07,01:15,613,43,2
07,01:15,613,43,5
07,01:17,613,44,2
07,01:17,613,44,5
07,01:19,613,43,2
07,01:19,613,43,6
07,01:20,613,43,7
07,01:24,613,7,2
07,01:24,613,7,6
07,01:24,613,8,2
07,01:24,613,8,6
07,01:24,613,2,4
07,01:24,613,2,8
07,01:24,613,62,5
07,01:24,613,47,4
07,01:24,613,47,8
07,01:24,613,49,4
07,01:24,613,49,8
07,01:24,613,6,2
07,01:24,613,6,6
07,01:24,613,2,3
07,01:24,613,2,4
07,01:24,613,2,7
07,01:24,613,2,8
07,01:24,613,63,5
07,01:24,613,47,3
07,01:24,613,47,7
07,01:24,613,49,3
07,01:24,613,49,7
07,01:28,613,10,2
07,01:28,613,10,6
07,01:28,613,11,2
07,01:28,613,11,6
07,01:28,613,9,2
07,01:28,613,9,6
07,01:28,613,12,6
07,01:28,613,64,5
07,01:30,613,0,4
07,01:30,613,0,8
07,01:30,613,1,4
07,01:30,613,1,8
07,01:30,613,2,2
07,01:30,613,2,3
07,01:30,613,2,6
07,01:30,613,2,7
07,01:30,613,12,2
07,01:30,613,31,3
07,01:30,613,61,6
07,01:30,613,65,5
07,01:30,613,46,1
07,01:30,613,46,5
07,01:30,613,48,1
07,01:30,613,48,5
07,01:37,613,48,4
07,01:37,613,48,8
07,01:40,613,3,4
07,01:40,613,3,8
07,01:44,613,2,2
07,01:44,613,2,3
07,01:44,613,2,6
07,01:44,613,44,7
07,01:45,613,44,4
07,01:46,613,43,4
07,01:49,613,2,2
07,01:49,613,2,6
07,01:49,613,44,3
07,01:50,613,44,4
07,01:50,613,44,8
07,01:51,613,43,4
07,01:51,613,43,8
07,01:54,613,44,4
07,01:54,613,44,8
07,01:55,613,43,4
07,01:55,613,43,8
07,01:57,613,44,4
07,01:57,613,44,8
07,01:57,613,43,1
07,01:58,613,43,4
07,01:58,613,43,8
07,01:59,613,2,2
07,01:59,613,2,3
07,01:59,613,2,6
07,01:59,613,43,3
07,02:01,613,44,4
07,02:02,613,43,4
07,02:03,613,2,2
07,02:03,613,2,6
07,02:03,613,44,3
07,02:04,613,44,4
07,02:04,613,44,8
07,02:07,613,43,5
07,02:07,613,7,4
07,02:07,613,7,8
07,02:07,613,8,4
07,02:07,613,8,8
07,02:07,613,62,6
07,02:07,613,63,6
07,02:08,613,43,4
07,02:08,613,43,8
07,02:11,613,44,4
07,02:11,613,44,8
07,02:11,613,10,4
07,02:11,613,10,8
