Parameter,EventId
2,2
6,2
7,2
3,44
8,44
8,43
2,2
6,2
7,44
4,44
8,44
4,7
8,7
4,8
8,8
6,62
6,63
4,43
8,43
4,10
8,10
4,11
8,11
4,9
8,9
8,12
6,64
2,0
6,0
2,1
6,1
4,2
8,2
4,12
2,31
5,61
6,65
2,21
6,21
3,46
4,46
7,46
8,46
3,48
7,48
5,43
1,2
5,2
2,22
6,22
1,47
5,47
1,49
5,49
1,2
2,44
5,44
3,43
1,44
6,44
2,23
6,23
2,3
6,3
5,2
2,43
5,43
2,44
5,44
2,43
6,43
7,43
2,7
6,7
2,8
6,8
4,2
8,2
5,62
4,47
8,47
4,49
8,49
2,6
6,6
3,2
4,2
7,2
8,2
5,63
3,47
7,47
3,49
7,49
2,10
6,10
2,11
6,11
2,9
6,9
6,12
5,64
4,0
8,0
4,1
8,1
2,2
3,2
6,2
7,2
2,12
3,31
6,61
5,65
1,46
5,46
1,48
5,48
4,48
8,48
4,3
8,3
2,2
3,2
6,2
7,44
4,44
4,43
2,2
6,2
3,44
4,44
8,44
4,43
8,43
4,44
8,44
4,43
8,43
4,44
8,44
1,43
4,43
8,43
2,2
3,2
6,2
3,43
4,44
4,43
2,2
6,2
3,44
4,44
8,44
5,43
4,7
8,7
4,8
8,8
6,62
6,63
4,43
8,43
4,44
8,44
4,10
8,10
4,11
8,11
4,9
8,9
8,12
6,64
2,0
6,0
2,1
6,1
4,12
2,31
5,61
6,65
2,21
6,21
3,46
4,46
7,46
8,46
3,48
7,48
3,43
8,43
1,2
5,2
2,22
6,22
1,47
5,47
1,49
5,49
4,43
1,2
2,44
5,44
1,44
6,44
2,43
6,43
2,44
6,44
2,43
6,43
2,23
6,23
2,3
6,3
2,44
6,44
2,7
6,7
2,8
6,8
4,2
8,2
5,62
4,47
8,47
4,49
8,49
2,6
6,6
3,2
4,2
8,2
5,63
2,43
6,43
3,47
7,47
3,49
7,49
2,10
6,10
2,11
6,11
2,9
6,9
6,12
5,64
4,0
8,0
4,1
8,1
2,2
3,2
6,2
2,12
3,31
6,61
5,65
1,46
5,46
1,48
5,48
4,48
8,48
5,43
4,3
8,3
4,44
4,43
1,43
4,44
4,43
4,44
4,43
4,44
2,2
6,2
3,44
8,44
4,43
8,43
2,2
3,2
6,2
3,43
4,44
4,7
8,7
4,8
8,8
2,2
6,2
6,62
3,44
8,44
4,6
8,6
6,63
4,10
8,10
4,11
8,11
4,9
8,9
8,12
6,64
2,0
6,0
2,1
6,1
4,12
2,31
5,61
6,65
2,21
6,21
3,46
4,46
7,46
8,46
3,48
7,48
4,43
8,43
1,2
5,2
2,22
6,22
1,47
5,47
1,49
5,49
5,2
1,44
6,44
3,43
2,23
6,23
2,3
6,3
2,44
5,44
2,43
6,43
2,7
6,7
2,8
6,8
4,2
8,2
5,62
4,47
8,47
4,49
8,49
2,6
6,6
3,2
4,2
8,2
5,63
3,47
7,47
3,49
7,49
3,2
4,2
7,2
8,2
7,43
2,10
6,10
2,11
6,11
2,9
6,9
6,12
5,64
4,0
8,0
4,1
8,1
2,2
3,2
6,2
7,2
2,12
3,31
6,61
5,65
1,46
5,46
1,48
5,48
5,43
4,48
8,48
4,3
8,3
1,43
2,2
3,2
6,2
4,44
7,44
4,43
4,7
8,7
4,8
8,8
2,2
6,2
6,62
3,44
4,6
8,6
6,63
4,10
8,10
4,11
8,11
4,9
8,9
8,12
6,64
2,0
6,0
2,1
6,1
4,2
8,2
4,12
2,31
5,61
6,65
2,21
6,21
3,46
4,46
7,46
8,46
3,48
7,48
7,43
1,2
5,2
2,22
6,22
1,47
5,47
1,49
5,49
5,2
1,44
6,44
3,43
2,23
6,23
2,3
6,3
2,7
6,7
2,8
6,8
2,6
6,6
3,2
4,2
5,2
7,2
8,2
6,43
3,47
4,47
7,47
8,47
3,49
4,49
7,49
8,49
1,0
5,0
2,10
6,10
2,11
6,11
1,1
5,1
2,9
6,9
2,2
3,2
