TimeStamp,Parameter
1/4/21 7:00:05,2
1/4/21 7:00:05,6
1/4/21 7:00:05,7
1/4/21 7:00:05,3
1/4/21 7:00:05,8
1/4/21 7:00:08,8
1/4/21 7:00:11,2
1/4/21 7:00:11,6
1/4/21 7:00:11,7
1/4/21 7:00:12,4
1/4/21 7:00:12,8
1/4/21 7:00:15,4
1/4/21 7:00:15,8
1/4/21 7:00:15,4
1/4/21 7:00:15,8
1/4/21 7:00:15,6
1/4/21 7:00:15,6
1/4/21 7:00:18,4
1/4/21 7:00:18,8
1/4/21 7:00:19,4
1/4/21 7:00:19,8
1/4/21 7:00:19,4
1/4/21 7:00:19,8
1/4/21 7:00:19,4
1/4/21 7:00:19,8
1/4/21 7:00:19,8
1/4/21 7:00:19,6
1/4/21 7:00:21,2
1/4/21 7:00:21,6
1/4/21 7:00:21,2
1/4/21 7:00:21,6
1/4/21 7:00:21,4
1/4/21 7:00:21,8
1/4/21 7:00:21,4
1/4/21 7:00:21,2
1/4/21 7:00:21,5
1/4/21 7:00:21,6
1/4/21 7:00:21,2
1/4/21 7:00:21,6
1/4/21 7:00:22,3
1/4/21 7:00:22,4
1/4/21 7:00:22,7
1/4/21 7:00:22,8
1/4/21 7:00:22,3
1/4/21 7:00:22,7
1/4/21 7:00:24,5
1/4/21 7:00:50,1
1/4/21 7:00:50,5
1/4/21 7:00:50,2
1/4/21 7:00:50,6
1/4/21 7:00:50,1
1/4/21 7:00:50,5
1/4/21 7:00:50,1
1/4/21 7:00:50,5
1/4/21 7:00:56,1
1/4/21 7:00:56,2
1/4/21 7:00:56,5
1/4/21 7:01:00,3
1/4/21 7:01:05,1
1/4/21 7:01:05,6
1/4/21 7:01:15,2
1/4/21 7:01:15,6
1/4/21 7:01:15,2
1/4/21 7:01:15,6
1/4/21 7:01:15,5
1/4/21 7:01:15,2
1/4/21 7:01:15,5
1/4/21 7:01:17,2
1/4/21 7:01:17,5
1/4/21 7:01:19,2
1/4/21 7:01:19,6
1/4/21 7:01:20,7
1/4/21 7:01:24,2
1/4/21 7:01:24,6
1/4/21 7:01:24,2
1/4/21 7:01:24,6
1/4/21 7:01:24,4
1/4/21 7:01:24,8
1/4/21 7:01:24,5
1/4/21 7:01:24,4
1/4/21 7:01:24,8
1/4/21 7:01:24,4
1/4/21 7:01:24,8
1/4/21 7:01:24,2
1/4/21 7:01:24,6
1/4/21 7:01:24,3
1/4/21 7:01:24,4
1/4/21 7:01:24,7
1/4/21 7:01:24,8
1/4/21 7:01:24,5
1/4/21 7:01:24,3
1/4/21 7:01:24,7
1/4/21 7:01:24,3
1/4/21 7:01:24,7
1/4/21 7:01:28,2
1/4/21 7:01:28,6
1/4/21 7:01:28,2
1/4/21 7:01:28,6
1/4/21 7:01:28,2
1/4/21 7:01:28,6
1/4/21 7:01:28,6
1/4/21 7:01:28,5
1/4/21 7:01:30,4
1/4/21 7:01:30,8
1/4/21 7:01:30,4
1/4/21 7:01:30,8
1/4/21 7:01:30,2
1/4/21 7:01:30,3
1/4/21 7:01:30,6
1/4/21 7:01:30,7
1/4/21 7:01:30,2
1/4/21 7:01:30,3
1/4/21 7:01:30,6
1/4/21 7:01:30,5
1/4/21 7:01:30,1
1/4/21 7:01:30,5
1/4/21 7:01:30,1
1/4/21 7:01:30,5
1/4/21 7:01:37,4
1/4/21 7:01:37,8
1/4/21 7:01:40,4
1/4/21 7:01:40,8
1/4/21 7:01:44,2
1/4/21 7:01:44,3
1/4/21 7:01:44,6
1/4/21 7:01:44,7
1/4/21 7:01:45,4
1/4/21 7:01:46,4
1/4/21 7:01:49,2
1/4/21 7:01:49,6
1/4/21 7:01:49,3
1/4/21 7:01:50,4
1/4/21 7:01:50,8
1/4/21 7:01:51,4
1/4/21 7:01:51,8
1/4/21 7:01:54,4
1/4/21 7:01:54,8
1/4/21 7:01:55,4
1/4/21 7:01:55,8
1/4/21 7:01:57,4
1/4/21 7:01:57,8
1/4/21 7:01:57,1
1/4/21 7:01:58,4
1/4/21 7:01:58,8
1/4/21 7:01:59,2
1/4/21 7:01:59,3
1/4/21 7:01:59,6
1/4/21 7:01:59,3
1/4/21 7:02:01,4
1/4/21 7:02:02,4
1/4/21 7:02:03,2
1/4/21 7:02:03,6
1/4/21 7:02:03,3
1/4/21 7:02:04,4
1/4/21 7:02:04,8
1/4/21 7:02:07,5
1/4/21 7:02:07,4
1/4/21 7:02:07,8
1/4/21 7:02:07,4
1/4/21 7:02:07,8
1/4/21 7:02:07,6
1/4/21 7:02:07,6
1/4/21 7:02:08,4
1/4/21 7:02:08,8
1/4/21 7:02:11,4
1/4/21 7:02:11,8
1/4/21 7:02:11,4
1/4/21 7:02:11,8
1/4/21 7:02:11,4
1/4/21 7:02:11,8
1/4/21 7:02:11,4
1/4/21 7:02:11,8
1/4/21 7:02:11,8
1/4/21 7:02:11,6
1/4/21 7:02:14,2
1/4/21 7:02:14,6
